Individual Block Counts:
Strain	Block Count
CNTRL-1A	0
CNTRL-1B	0
CNTRL-1C	0
CNTRL-1D	0
CNTRL-1E	0
CNTRL-1G	0
CNTRL-1H	0
NFS-1E	4
NFS-1F	0
NFS-1H	0
NFS-2A	1
NFS-2B	2
NFS-2D	1
NFS-2E	0
NFS-2F	0
NFS-3G	5
NFS-4B	1
NFS-4E	1
NFS-5B	1
NFS-5D	1
NFS-5G	0
NFS-6C	0
NFS-7A	4
NFS-7C	0
NFS-7E	1
NFS-7H	0
NFS-8C	0
P1-11B	2
P1-11C	3
P1-11D	1
P1-11E	0
P1-11G	2
P1-12H	0
P1-1A	3
P1-1D	3
P1-1E	2
P1-1F	1
P1-1G	4
P1-1H	4
P1-2D	2
P1-2F	6
P1-2H	2
P1-3A	2
P1-3B	2
P1-3C	2
P1-3D	2
P1-3F	2
P1-3H	1
P1-4A	5
P1-4B	2
P1-4C	3
P1-4D	0
P1-4F	2
P1-4G	1
P1-4H	1
P1-5A	1
P1-5B	2
P1-5C	2
P1-5D	2
P1-5G	2
P1-5H	3
P1-6A	1
P1-6C	3
P1-6D	6
P1-6F	6
P1-6G	1
P1-6H	2
P1-7A	6
P1-7C	3
P1-7D	1
P1-7E	2
P1-7F	1
P1-7G	1
P1-7H	0
P1-8A	1
P1-8B	2
P1-8C	3
P1-8D	1
P1-8E	4
P1-8F	2
P1-8G	3
P1-8H	2
P1-9A	0
P1-9B	2
P1-9C	2
P1-9D	1
P1-9E	4
P1-9F	5
P1-9G	2
P1-9H	4
P2-10A	0
P2-10D	1
P2-10G	1
P2-10H	1
P2-11C	3
P2-11E	1
P2-11F	2
P2-11H	1
P2-1A	3
P2-1B	1
P2-1D	3
P2-1F	2
P2-1G	0
P2-2A	4
P2-2C	3
P2-2H	4
P2-3C	2
P2-3D	1
P2-3E	1
P2-3G	1
P2-4A	1
P2-4D	2
P2-4E	1
P2-4G	1
P2-4H	3
P2-5B	2
P2-5G	3
P2-5H	4
P2-6A	2
P2-6B	2
P2-6D	2
P2-6E	4
P2-6F	4
P2-6G	2
P2-6H	2
P2-7B	2
P2-7C	2
P2-7D	1
P2-7E	1
P2-7F	1
P2-7G	3
P2-7H	3
P2-8A	1
P2-8B	1
P2-8C	4
P2-8D	0
P2-8E	2
P2-8G	2
P2-8H	1
P2-9C	1
P2-9D	0
P2-9E	1
P2-9F	1
P2-9G	2
P2-9H	2
P3-1A	1
P3-1B	2
P3-1C	1
P3-1D	2
P3-1F	2
P3-1G	4
P3-1H	1
P3-2A	1
P3-2C	2
P3-2D	2
P3-2F	4
P3-2G	0
P3-2H	0
P3-3A	3
P3-3B	1
P3-3C	4
P3-3D	3
P3-3F	3
P3-3G	2
P3-3H	2
P3-4A	3
P3-4D	1
P3-4E	1
P3-4F	3
P3-4G	1
P3-5A	1
P3-5B	2
P3-5C	2
P3-5D	0
P3-5E	2
P3-5F	3
P3-5G	1
P3-6A	2
P3-6B	1
P3-6C	3
P3-6D	3
P3-6E	2
P3-6F	3
P3-6G	1
P3-6H	2
P3-7A	5
P3-7B	3
P3-7C	1
P3-7F	5
P3-7G	2
P3-7H	2
P3-8A	0
P3-8B	1
P3-8C	5
P3-8D	2
P3-8E	2
P3-8F	1
P3-8H	1

Block Count Frequencies:
Block	Count
0	29
1	58
2	58
3	27
4	16
5	6
6	4

Block Length Distribution (Log Scale):
Length Range	Frequency
10-100	3
100-1000	10
1000-10000	90
10000-100000	161
100000-1000000	102
1000000-10000000	7
