Individual Block Counts:
Strain	Block Count
CNTRL-1A	0
CNTRL-1B	0
CNTRL-1C	0
CNTRL-1D	0
CNTRL-1E	0
CNTRL-1G	0
CNTRL-1H	0
NFS-1E	0
NFS-1F	0
NFS-1H	0
NFS-2A	0
NFS-2B	0
NFS-2D	0
NFS-2E	0
NFS-2F	0
NFS-3G	5
NFS-4B	0
NFS-4E	1
NFS-5B	0
NFS-5D	0
NFS-5G	0
NFS-6C	0
NFS-7A	2
NFS-7C	0
NFS-7E	2
NFS-7H	0
NFS-8C	0
P1-11B	1
P1-11C	0
P1-11D	0
P1-11E	0
P1-11G	0
P1-12H	1
P1-1A	0
P1-1D	2
P1-1E	0
P1-1F	1
P1-1G	1
P1-1H	1
P1-2D	0
P1-2F	2
P1-2H	1
P1-3A	0
P1-3B	0
P1-3C	0
P1-3D	0
P1-3F	0
P1-3H	0
P1-4A	0
P1-4B	0
P1-4C	1
P1-4D	1
P1-4F	2
P1-4G	0
P1-4H	0
P1-5A	2
P1-5B	0
P1-5C	0
P1-5D	0
P1-5G	1
P1-5H	0
P1-6A	0
P1-6C	0
P1-6D	0
P1-6F	0
P1-6G	0
P1-6H	1
P1-7A	1
P1-7C	1
P1-7D	0
P1-7E	0
P1-7F	4
P1-7G	0
P1-7H	0
P1-8A	0
P1-8B	0
P1-8C	1
P1-8D	0
P1-8E	1
P1-8F	0
P1-8G	0
P1-8H	0
P1-9A	0
P1-9B	0
P1-9C	0
P1-9D	0
P1-9E	1
P1-9F	0
P1-9G	0
P1-9H	1
P2-10A	0
P2-10D	0
P2-10G	1
P2-10H	0
P2-11C	0
P2-11E	0
P2-11F	5
P2-11H	0
P2-1A	0
P2-1B	0
P2-1D	0
P2-1F	0
P2-1G	0
P2-2A	0
P2-2C	0
P2-2H	2
P2-3C	0
P2-3D	1
P2-3E	1
P2-3G	0
P2-4A	0
P2-4D	0
P2-4E	0
P2-4G	0
P2-4H	2
P2-5B	1
P2-5G	0
P2-5H	0
P2-6A	0
P2-6B	0
P2-6D	1
P2-6E	0
P2-6F	0
P2-6G	0
P2-6H	2
P2-7B	0
P2-7C	0
P2-7D	0
P2-7E	0
P2-7F	1
P2-7G	3
P2-7H	0
P2-8A	0
P2-8B	0
P2-8C	0
P2-8D	1
P2-8E	0
P2-8G	0
P2-8H	1
P2-9C	0
P2-9D	0
P2-9E	1
P2-9F	0
P2-9G	4
P2-9H	2
P3-1A	0
P3-1B	0
P3-1C	0
P3-1D	1
P3-1F	0
P3-1G	1
P3-1H	0
P3-2A	1
P3-2C	0
P3-2D	0
P3-2F	0
P3-2G	0
P3-2H	0
P3-3A	1
P3-3B	1
P3-3C	0
P3-3D	0
P3-3F	0
P3-3G	0
P3-3H	1
P3-4A	1
P3-4D	0
P3-4E	0
P3-4F	5
P3-4G	0
P3-5A	0
P3-5B	0
P3-5C	0
P3-5D	0
P3-5E	0
P3-5F	2
P3-5G	0
P3-6A	1
P3-6B	0
P3-6C	0
P3-6D	1
P3-6E	0
P3-6F	0
P3-6G	0
P3-6H	0
P3-7A	0
P3-7B	0
P3-7C	2
P3-7F	0
P3-7G	0
P3-7H	0
P3-8A	0
P3-8B	0
P3-8C	0
P3-8D	0
P3-8E	0
P3-8F	0
P3-8H	0

Block Count Frequencies:
Block	Count
0	145
1	35
2	12
3	1
4	2
5	3

Block Length Distribution (Log Scale):
Length Range	Frequency
10-100	5
100-1000	6
1000-10000	31
10000-100000	16
100000-1000000	27
