treatment,Factor,Df,Sum Sq,Mean Sq,F value,Pr(>F),percent
Acidic,strain,156,5.659706907691571,0.03628017248520238,156.3876146520222,0,0.95881226501937
Acidic,Residuals,1048,0.2431242451590168,2.3198878354868015e-4,NA,NA,0.041187734980630025
Acidic,sum,1204,5.902831152850587,NA,NA,NA,NA
Caffeine,strain,156,6.704792652143569,0.04297944007784339,146.42435225857884,0,0.9567333448377892
Caffeine,Residuals,1033,0.3032129622947402,2.9352658499006795e-4,NA,NA,0.0432666551622109
Caffeine,sum,1189,7.008005614438309,NA,NA,NA,NA
H2O2,strain,156,48.25652608238563,0.30933670565631816,39.46999765244819,0,0.8594423404489531
H2O2,Residuals,1007,7.892122653232308,0.007837261820488885,NA,NA,0.14055765955104693
H2O2,sum,1163,56.14864873561794,NA,NA,NA,NA
SC,strain,156,7.008174001777516,0.04492419231908664,123.04662943329637,0,0.9483234113574539
SC,Residuals,1046,0.381893477149151,3.650989265288251e-4,NA,NA,0.05167658864254609
SC,sum,1202,7.390067478926667,NA,NA,NA,NA
YPD-30C,strain,156,4.349783728014586,0.027883229025734525,140.03036858806564,0,0.9539296029043101
YPD-30C,Residuals,1055,0.2100744782632603,1.9912272821162114e-4,NA,NA,0.04607039709568982
YPD-30C,sum,1211,4.5598582062778465,NA,NA,NA,NA
YPD-37C,strain,156,8.881742778516529,0.05693424858023416,179.32969764531512,0,0.9642567031182474
YPD-37C,Residuals,1037,0.32923055440865084,3.1748365902473563e-4,NA,NA,0.03574329688175259
YPD-37C,sum,1193,9.21097333292518,NA,NA,NA,NA
worm-20C,strain,156,13.748795940705088,0.08813330731221211,1.639660221272061,4.492117312090881e-6,0.16028893291966576
worm-20C,Residuals,1340,72.02628341300029,0.05375095777089574,NA,NA,0.8397110670803342
worm-20C,sum,1496,85.77507935370538,NA,NA,NA,NA
