strain,treatment,mean_s_withOutlier,mean_s,median_s,n_LOH-BY4741,n_LOH-SK1,n_LOH-both,LOH_length-BY4741,LOH_length-SK1,LOH_length-both
CNTRL-1A,Acidic,-0.011954282153514906,-0.011954282153514906,-0.014164657318874552,0,0,0,0,0,0
CNTRL-1A,Caffeine,0.007484563012561538,0.007484563012561538,0.006142045535939212,0,0,0,0,0,0
CNTRL-1A,H2O2,-0.014157350749829923,-0.014157350749829923,-0.016529907035572226,0,0,0,0,0,0
CNTRL-1A,SC,-0.009035825637190043,-0.009035825637190043,-0.007596392409871219,0,0,0,0,0,0
CNTRL-1A,YPD-30C,-0.0029805444104843443,-0.0029805444104843443,-5.138045426110831e-4,0,0,0,0,0,0
CNTRL-1A,YPD-30C-35cyc,-0.004129474094987623,0.0027059352460282507,0.00499937559787413,0,0,0,0,0,0
CNTRL-1A,YPD-37C,0.0043070827945487335,0.0043070827945487335,0.003354720093134,0,0,0,0,0,0
CNTRL-1A,worm-20C,-0.21242425952171692,-0.21242425952171692,-0.06624950788485287,0,0,0,0,0,0
CNTRL-1B,Acidic,-0.005042458261531175,-0.005042458261531175,-1.4841729332144317e-4,0,0,0,0,0,0
CNTRL-1B,Caffeine,0.0022584223736492564,0.0022584223736492564,0.0027069566479504615,0,0,0,0,0,0
CNTRL-1B,H2O2,0.011586712507779127,0.021865693631767723,0.012078557142565855,0,0,0,0,0,0
CNTRL-1B,SC,-0.00515821081521621,-0.00515821081521621,-0.008043240957720793,0,0,0,0,0,0
CNTRL-1B,YPD-30C,0.0021456755900739876,0.0021456755900739876,8.650794279303872e-4,0,0,0,0,0,0
CNTRL-1B,YPD-30C-35cyc,0.013680774815841049,0.013680774815841049,0.011841489727101265,0,0,0,0,0,0
CNTRL-1B,YPD-37C,-0.003822900885646679,-0.0017348181701982161,-0.0025027682086481732,0,0,0,0,0,0
CNTRL-1B,worm-20C,-0.045572997891960475,0.04284741469009691,0.00914708980268852,0,0,0,0,0,0
CNTRL-1C,Acidic,0.004859823337626918,0.004859823337626918,0.003949646836137083,0,0,0,0,0,0
CNTRL-1C,Caffeine,0.004910613086840586,0.005598374322220665,0.004851070419464347,0,0,0,0,0,0
CNTRL-1C,H2O2,0.0024901450832676107,0.0019663602931208656,0.011105735150050118,0,0,0,0,0,0
CNTRL-1C,SC,2.50855785781492e-4,2.50855785781492e-4,4.4053649566052873e-4,0,0,0,0,0,0
CNTRL-1C,YPD-30C,9.511817579493367e-5,9.511817579493367e-5,5.653441868543865e-4,0,0,0,0,0,0
CNTRL-1C,YPD-30C-35cyc,-0.0030046428683173114,-0.0030046428683173114,-0.0038885725629795222,0,0,0,0,0,0
CNTRL-1C,YPD-37C,3.4761922464030264e-4,3.4761922464030264e-4,-3.246901826120936e-5,0,0,0,0,0,0
