strain,Acidic,Caffeine,H2O2,SC,YPD-30C,YPD-37C,worm-20C
CNTRL-1A,-0.012±0.007,0.007±0.005,-0.014±0.055,-0.009±0.008,-0.003±0.013,0.004±0.009,-0.212±0.25
CNTRL-1B,-0.005±0.014,0.002±0.006,0.022±0.026,-0.005±0.015,0.002±0.008,-0.002±0.004,0.043±0.069
CNTRL-1C,0.005±0.013,0.006±0.004,0.002±0.049,0±0.011,0±0.013,0±0.009,0.013±0.039
CNTRL-1D,0.007±0.01,0.01±0.011,-0.036±0.072,-0.012±0.017,0.011±0.008,0.008±0.009,0.038±0.077
CNTRL-1E,-0.001±0.006,-0.017±0.012,0.036±0.043,0.006±0.007,-0.013±0.006,-0.006±0.01,-0.133±0.254
CNTRL-1G,0.006±0.008,-0.003±0.015,0.004±0.044,0.005±0.008,0.001±0.013,-0.003±0.004,0.031±0.088
CNTRL-1H,0.005±0.015,-0.008±0.004,-0.019±0.032,0.016±0.009,0±0.01,0.001±0.01,-0.139±0.207
NFS-1E,0.018±0.008,0.023±0.004,-0.027±0.053,-0.014±0.017,-0.002±0.007,-0.002±0.013,-0.183±0.291
NFS-2A,-0.139±0.025,0.094±0.017,-0.574±0.06,-0.081±0.012,-0.129±0.017,-0.206±0.014,-0.145±0.257
NFS-2B,-0.149±0.015,-0.022±0.017,-0.461±0.113,-0.075±0.019,-0.09±0.009,-0.171±0.012,-0.103±0.239
NFS-2D,-0.008±0.009,0.025±0.011,-0.143±0.093,0.017±0.014,0.013±0.014,0.01±0.01,0.029±0.069
NFS-2F,-0.053±0.011,0.024±0.019,-0.324±0.093,-0.003±0.016,0.008±0.01,0.017±0.01,-0.016±0.045
NFS-3G,-0.139±0.018,0.002±0.011,-0.28±0.026,0.01±0.009,-0.117±0.013,-0.157±0.021,-0.419±0.095
NFS-4B,-0.126±0.013,0.022±0.003,-0.464±0.119,-0.048±0.02,-0.105±0.015,-0.219±0.019,-0.194±0.237
NFS-4E,0.002±0.012,0.021±0.008,-0.293±0.114,-0.013±0.031,0.016±0.002,0.01±0.015,-0.271±0.266
NFS-5B,-0.104±0.004,0.049±0.011,-0.414±0.142,-0.004±0.019,-0.101±0.015,-0.176±0.009,-0.147±0.301
NFS-5D,-0.093±0.012,0.064±0.015,-0.302±0.091,-0.04±0.017,-0.103±0.014,-0.16±0.012,-0.262±0.224
NFS-5G,0.003±0.017,0.002±0.016,-0.173±0.147,0.02±0.013,0.011±0.007,0.001±0.01,-0.197±0.253
NFS-6C,0±0.01,0.005±0.009,-0.171±0.147,0.006±0.014,0.008±0.005,0.007±0.007,-0.163±0.273
NFS-7A,-0.228±0.018,-0.136±0.008,-0.246±0.059,0.065±0.026,-0.254±0.015,-0.259±0.031,-0.089±0.263
NFS-7C,-0.112±0.011,0.037±0.014,-0.226±0.054,-0.021±0.016,-0.086±0.011,-0.161±0.022,0.019±0.06
NFS-7E,-0.091±0.012,0.059±0.017,-0.312±0.135,-0.06±0.022,-0.087±0.011,-0.179±0.024,-0.117±0.296
NFS-7H,-0.042±0.011,-0.073±0.019,0.06±0.052,0.011±0.02,-0.025±0.009,-0.016±0.007,0.022±0.116
P1-11B,-0.124±0.012,0.049±0.011,-0.477±0.116,0.136±0.027,-0.104±0.019,-0.183±0.011,-0.187±0.323
P1-11D,-0.12±0.021,0.046±0.007,-0.228±0.061,0.016±0.017,-0.085±0.015,-0.175±0.024,0.006±0.081
P1-11E,-0.121±0.014,0.067±0.009,-0.221±0.053,0.03±0.021,-0.078±0.014,-0.176±0.03,-0.087±0.342
P1-1A,-0.013±0.013,0±0.012,-0.483±0.083,0.017±0.02,-0.02±0.009,-0.051±0.021,-0.137±0.254
P1-1E,-0.116±0.015,0.029±0.017,-0.218±0.051,0.007±0.018,-0.1±0.012,-0.185±0.018,-0.045±0.207
P1-1F,-0.136±0.016,0.017±0.007,-0.228±0.065,0.016±0.018,-0.11±0.014,-0.17±0.018,-0.185±0.324
P1-1G,-0.029±0.019,0.003±0.012,0.192±0.043,0.154±0.008,-0.01±0.007,-0.013±0.007,-0.12±0.236
P1-2D,-0.119±0.008,0.067±0.012,-0.435±0.063,-0.077±0.014,-0.099±0.007,-0.194±0.015,-0.173±0.275
P1-2F,0.045±0.015,-0.265±0.044,-0.018±0.065,-0.075±0.014,-0.077±0.023,-0.118±0.009,-0.177±0.306
P1-2H,-0.015±0.011,-0.002±0.016,0.109±0.017,-0.001±0.015,-0.008±0.007,-0.005±0.017,-0.21±0.258
P1-3A,-0.186±0.02,0.036±0.01,-0.115±0.04,0.165±0.021,-0.127±0.012,-0.183±0.021,-0.106±0.296
P1-3B,-0.124±0.012,0.04±0.018,-0.387±0.155,-0.013±0.021,-0.1±0.007,-0.169±0.028,-0.175±0.266
P1-3C,0.018±0.004,0.001±0.006,-0.033±0.033,-0.002±0.02,0.018±0.01,0.011±0.011,0.03±0.064
P1-3D,-0.244±0.055,-0.121±0.018,-0.516±0.039,-0.111±0.046,-0.255±0.057,-0.299±0.039,-0.167±0.264
P1-3F,-0.029±0.014,-0.007±0.019,0.128±0.026,-0.002±0.019,0.002±0.007,-0.011±0.012,-0.121±0.224
P1-4A,-0.178±0.004,-0.027±0.016,-0.565±0.093,-0.093±0.037,-0.124±0.012,-0.217±0.027,-0.178±0.29
P1-4B,-0.134±0.006,0.028±0.008,-0.367±0.124,-0.027±0.003,-0.098±0.006,-0.164±0.023,-0.115±0.22
P1-4C,0.03±0.017,-0.241±0.05,-0.377±0.079,-0.264±0.021,-0.024±0.01,-0.096±0.015,-0.242±0.264
P1-4D,-0.067±0.009,-0.095±0.004,-0.458±0.126,-0.24±0.04,-0.068±0.012,-0.172±0.011,0.024±0.095
P1-4F,-0.158±0.026,0.015±0.017,-0.329±0.101,-0.033±0.032,-0.096±0.013,-0.166±0.019,-0.206±0.271
P1-4G,-0.047±0.012,0.006±0.011,-0.544±0.061,-0.024±0.022,-0.033±0.007,-0.04±0.011,0.022±0.091
P1-4H,-0.02±0.016,-0.028±0.02,0.076±0.078,-0.013±0.009,-0.036±0.019,-0.064±0.017,-0.2±0.317
P1-5A,0.016±0.01,0.024±0.015,-0.174±0.07,0.006±0.013,0.012±0.007,0.011±0.003,-0.021±0.174
P1-5B,-0.032±0.011,-0.079±0.014,-0.064±0.046,-0.165±0.034,-0.018±0.007,-0.039±0.011,-0.093±0.24
P1-5C,-0.114±0.015,0.068±0.014,-0.338±0.159,-0.017±0.024,-0.093±0.014,-0.165±0.012,-0.21±0.283
P1-5D,-0.19±0.045,-0.09±0.031,-0.158±0.063,0.089±0.011,-0.09±0.026,-0.087±0.012,-0.136±0.288
P1-5G,-0.008±0.016,-0.019±0.01,0.148±0.013,0.044±0.01,-0.003±0.009,-0.03±0.012,-0.155±0.242
P1-5H,-0.158±0.018,-0.093±0.012,-0.429±0.135,0.036±0.012,-0.161±0.011,-0.215±0.025,0.004±0.098
P1-6A,-0.137±0.012,0.024±0.023,-0.434±0.109,-0.038±0.013,-0.105±0.009,-0.186±0.019,-0.074±0.264
P1-6D,-0.088±0.018,0.078±0.011,-0.47±0.088,0.021±0.018,-0.092±0.014,-0.179±0.017,-0.105±0.27
P1-6F,-0.118±0.032,0.048±0.003,-0.274±0.067,-0.003±0.021,-0.08±0.003,-0.179±0.01,-0.12±0.278
P1-6G,-0.068±0.013,-0.001±0.012,-0.474±0.116,-0.05±0.02,-0.082±0.021,-0.152±0.03,0.007±0.089
