Treatment,Distribution,AIC,Parameters
Caffeine,Weibull,-293.23,"c=192735127.34424028, loc=-7623654.036311239, scale=7623654.058220732"
Caffeine,Skew-Normal,-283.86,"a=-6.213967137679138, loc=0.06463402907544738, scale=0.08885340673522822"
Caffeine,Generalized Normal,-282.68,"beta=1.0329592407131933, loc=0.004025806252456981, scale=0.04162934797560043"
Caffeine,Normal,-267.10,"loc=-0.0023629815368754067, scale=0.05836529771850769"
Caffeine,Frechet,-168.15,"c=161225758.4898131, loc=-15599333.16064648, scale=15599333.12403393"
Caffeine,Gamma,-141.03,"a=6.2466018386010225, loc=-0.33987125788863204, scale=0.054030700922589305"
Caffeine,Cauchy,1270.34,"loc=0.0039669685786847, scale=0.02951786202168365"
SC,Generalized Normal,-262.87,"beta=0.628573150450276, loc=-0.00556585093767374, scale=0.01710215737925889"
SC,Skew-Normal,-227.81,"a=-1.8394582243739557, loc=0.059940170062288974, scale=0.10038384430966597"
SC,Weibull,-225.21,"c=10.038870064599466, loc=-0.6395220285358705, scale=0.6612722032088826"
SC,Normal,-220.31,"loc=-0.008257664542215127, scale=0.07366523368491909"
SC,Frechet,-150.05,"c=203122550.1432119, loc=-20583246.059939798, scale=20583246.010740165"
SC,Gamma,-128.36,"a=5.146754986258469, loc=-0.3256914897756157, scale=0.061676126328176865"
SC,Cauchy,1200.42,"loc=-0.0037890307890803996, scale=0.020811546504025814"
