STRAIN	chrI	chrII	chrIII	chrIV	chrV	chrVI	chrVII	chrVIII	chrIX	chrX	chrXI	chrXII	chrXIII	chrXIV	chrXV	chrXVI
CNTRL-1A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
CNTRL-1H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-1E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-1F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-1H	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-2A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
NFS-2B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-2D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-2E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-2F	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-3G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-4B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-4E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-5B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-5D	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-5G	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-6C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-7A	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-7C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-7E	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-7H	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
NFS-8C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P1-11B	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
